,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,Canada_-_Brand_Apr_2024,1.0078666863528745,-156739.0,1,05.24.2024 16:10:16
1,Canada_-_Brand_May_2024,1.1708340252002063,-156739.0,1,05.24.2024 16:10:16
2,Canada_-_Brand_Jun_2024,0.9015374785671147,-156739.0,1,05.24.2024 16:10:16
3,Canada_-_Brand_Jul_2024,0.9231550640591202,-156739.0,1,05.24.2024 16:10:16
4,Canada_-_Brand_Aug_2024,0.9703621688746477,-156739.0,1,05.24.2024 16:10:16
5,Canada_-_Brand_Sep_2024,0.9167552071776761,-156739.0,1,05.24.2024 16:10:16
6,Canada_-_Brand_Oct_2024,0.9090550237235697,-156739.0,1,05.24.2024 16:10:16
7,Canada_-_Brand_Nov_2024,0.6092826852901246,-156739.0,1,05.24.2024 16:10:16
8,Canada_-_Brand_Dec_2024,0.8944420475025947,-156739.0,1,05.24.2024 16:10:16
9,Canada_-_Non_Brand_Apr_2024,1.1255768476171497,-156739.0,1,05.24.2024 16:10:16
10,Canada_-_Non_Brand_May_2024,1.0621910479643237,-156739.0,1,05.24.2024 16:10:16
11,Canada_-_Non_Brand_Jun_2024,0.7656491147584024,-156739.0,1,05.24.2024 16:10:16
12,Canada_-_Non_Brand_Jul_2024,0.723485835710946,-156739.0,1,05.24.2024 16:10:16
13,Canada_-_Non_Brand_Aug_2024,0.7319148929068953,-156739.0,1,05.24.2024 16:10:16
14,Canada_-_Non_Brand_Sep_2024,0.8089456507837226,-156739.0,1,05.24.2024 16:10:16
15,Canada_-_Non_Brand_Oct_2024,0.6602362812276941,-156739.0,1,05.24.2024 16:10:16
16,Canada_-_Non_Brand_Nov_2024,0.6052571306105086,-156739.0,1,05.24.2024 16:10:16
17,Canada_-_Non_Brand_Dec_2024,0.6769856587914279,-156739.0,1,05.24.2024 16:10:16
0,Canada_-_Brand_Apr_2024,1.0078666863528745,-156739.0,2,05.24.2024 16:10:20
1,Canada_-_Brand_May_2024,1.1708340252002063,-156739.0,2,05.24.2024 16:10:20
2,Canada_-_Brand_Jun_2024,0.9015374785671147,-156739.0,2,05.24.2024 16:10:20
3,Canada_-_Brand_Jul_2024,0.9231550640591202,-156739.0,2,05.24.2024 16:10:20
4,Canada_-_Brand_Aug_2024,0.9703621688746477,-156739.0,2,05.24.2024 16:10:20
5,Canada_-_Brand_Sep_2024,0.9167552071776761,-156739.0,2,05.24.2024 16:10:20
6,Canada_-_Brand_Oct_2024,0.9090550237235697,-156739.0,2,05.24.2024 16:10:20
7,Canada_-_Brand_Nov_2024,0.6092826852901246,-156739.0,2,05.24.2024 16:10:20
8,Canada_-_Brand_Dec_2024,0.8944420475025947,-156739.0,2,05.24.2024 16:10:20
9,Canada_-_Non_Brand_Apr_2024,1.1255768476171497,-156739.0,2,05.24.2024 16:10:20
10,Canada_-_Non_Brand_May_2024,1.0621910479643237,-156739.0,2,05.24.2024 16:10:20
11,Canada_-_Non_Brand_Jun_2024,0.7656491147584024,-156739.0,2,05.24.2024 16:10:20
12,Canada_-_Non_Brand_Jul_2024,0.723485835710946,-156739.0,2,05.24.2024 16:10:20
13,Canada_-_Non_Brand_Aug_2024,0.7319148929068953,-156739.0,2,05.24.2024 16:10:20
14,Canada_-_Non_Brand_Sep_2024,0.8089456507837226,-156739.0,2,05.24.2024 16:10:20
15,Canada_-_Non_Brand_Oct_2024,0.6602362812276941,-156739.0,2,05.24.2024 16:10:20
16,Canada_-_Non_Brand_Nov_2024,0.6052571306105086,-156739.0,2,05.24.2024 16:10:20
17,Canada_-_Non_Brand_Dec_2024,0.6769856587914279,-156739.0,2,05.24.2024 16:10:20
0,Canada_-_Brand_Apr_2024,1.0078666863528745,-156739.0,3,05.24.2024 16:10:23
1,Canada_-_Brand_May_2024,1.1708340252002063,-156739.0,3,05.24.2024 16:10:23
2,Canada_-_Brand_Jun_2024,0.9015374785671147,-156739.0,3,05.24.2024 16:10:23
3,Canada_-_Brand_Jul_2024,0.9231550640591202,-156739.0,3,05.24.2024 16:10:23
4,Canada_-_Brand_Aug_2024,0.9703621688746477,-156739.0,3,05.24.2024 16:10:23
5,Canada_-_Brand_Sep_2024,0.9167552071776761,-156739.0,3,05.24.2024 16:10:23
6,Canada_-_Brand_Oct_2024,0.9090550237235697,-156739.0,3,05.24.2024 16:10:23
7,Canada_-_Brand_Nov_2024,0.6092826852901246,-156739.0,3,05.24.2024 16:10:23
8,Canada_-_Brand_Dec_2024,0.8944420475025947,-156739.0,3,05.24.2024 16:10:23
9,Canada_-_Non_Brand_Apr_2024,1.1255768476171497,-156739.0,3,05.24.2024 16:10:23
10,Canada_-_Non_Brand_May_2024,1.0621910479643237,-156739.0,3,05.24.2024 16:10:23
11,Canada_-_Non_Brand_Jun_2024,0.7656491147584024,-156739.0,3,05.24.2024 16:10:23
12,Canada_-_Non_Brand_Jul_2024,0.723485835710946,-156739.0,3,05.24.2024 16:10:23
13,Canada_-_Non_Brand_Aug_2024,0.7319148929068953,-156739.0,3,05.24.2024 16:10:23
14,Canada_-_Non_Brand_Sep_2024,0.8089456507837226,-156739.0,3,05.24.2024 16:10:23
15,Canada_-_Non_Brand_Oct_2024,0.6602362812276941,-156739.0,3,05.24.2024 16:10:23
16,Canada_-_Non_Brand_Nov_2024,0.6052571306105086,-156739.0,3,05.24.2024 16:10:23
17,Canada_-_Non_Brand_Dec_2024,0.6769856587914279,-156739.0,3,05.24.2024 16:10:23
0,Canada_-_Brand_Apr_2024,1.0078666863528745,-156739.0,4,05.24.2024 16:10:27
1,Canada_-_Brand_May_2024,1.1708340252002063,-156739.0,4,05.24.2024 16:10:27
2,Canada_-_Brand_Jun_2024,0.9015374785671147,-156739.0,4,05.24.2024 16:10:27
3,Canada_-_Brand_Jul_2024,0.9231550640591202,-156739.0,4,05.24.2024 16:10:27
