market,account_type,funnel,Month,Actual,Forecast,Percentage Error,MAPE,Forecast Period MAE,Predict Status
Canada,-,Brand,2023-10-01,19114.0,28582.85,-49.54,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2023-11-01,18942.0,27775.35,-46.63,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2023-12-01,15267.0,20077.170000000002,-31.509999999999998,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2024-01-01,15998.0,22565.85,-41.05,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2024-02-01,15629.0,20599.89,-31.81,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2024-03-01,15556.0,23855.7,-53.349999999999994,41.03,41.589999999999996,OverPredicted
Canada,-,Brand,2024-04-01,13923.0,18561.23,-33.31,41.03,41.589999999999996,OverPredicted
Canada,-,Non_Brand,2023-10-01,1264.0,1801.55,-42.53,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2023-11-01,3262.0,2718.99,16.650000000000002,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2023-12-01,2666.0,3364.23,-26.19,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2024-01-01,3432.0,2596.46,24.349999999999998,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2024-02-01,2290.0,2257.41,1.4200000000000002,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2024-03-01,2758.0,2247.51,18.509999999999998,23.68,9.17,UnderPredicted
Canada,-,Non_Brand,2024-04-01,2790.0,1782.56,36.11,23.68,9.17,UnderPredicted
