,iteration,Conversion Quantity
0,1,158444.0
1,2,160035.0
2,3,160409.0
3,4,160422.0
4,5,160422.0
5,6,160422.0
6,7,160510.0
7,8,160510.0
8,9,160510.0
9,10,160510.0
10,11,160811.0
11,12,160811.0
12,13,160811.0
13,14,160811.0
14,15,160811.0
15,16,160811.0
16,17,160811.0
17,18,160811.0
18,19,160869.0
19,20,160869.0
20,21,160869.0
21,22,160869.0
22,23,160869.0
23,24,160869.0
24,25,160869.0
25,26,160869.0
26,27,160869.0
27,28,160869.0
28,29,160869.0
29,30,160869.0
30,31,160869.0
31,32,160869.0
32,33,160869.0
33,34,161080.0
34,35,161080.0
35,36,161080.0
36,37,161080.0
37,38,161080.0
38,39,161080.0
39,40,161080.0
40,41,161080.0
41,42,161080.0
42,43,161080.0
43,44,161080.0
44,45,161080.0
45,46,161080.0
46,47,161080.0
47,48,161080.0
48,49,161080.0
49,50,161080.0
50,51,161080.0
51,52,161080.0
52,53,161080.0
53,54,161080.0
54,55,161080.0
55,56,161080.0
56,57,161080.0
57,58,161080.0
58,59,161080.0
59,60,161080.0
60,61,161080.0
61,62,161080.0
62,63,161080.0
63,64,161080.0
64,65,161080.0
65,66,161080.0
66,67,161080.0
67,68,161080.0
68,69,161080.0
69,70,161080.0
70,71,161080.0
71,72,161080.0
72,73,161080.0
73,74,161080.0
74,75,161080.0
75,76,161080.0
76,77,161080.0
77,78,161080.0
78,79,161080.0
79,80,161080.0
80,81,161080.0
81,82,161080.0
82,83,161080.0
83,84,161080.0
84,85,161080.0
85,86,161080.0
86,87,161080.0
87,88,161080.0
88,89,161080.0
89,90,161080.0
90,91,161080.0
91,92,161080.0
92,93,161080.0
93,94,161080.0
94,95,161080.0
95,96,161080.0
96,97,161080.0
97,98,161080.0
98,99,161080.0
99,100,161080.0
100,101,161080.0
101,102,161080.0
102,103,161080.0
103,104,161080.0
104,105,161080.0
105,106,161080.0
106,107,161080.0
107,108,161080.0
108,109,161080.0
109,110,161080.0
110,111,161080.0
111,112,161080.0
112,113,161080.0
113,114,161080.0
114,115,161080.0
115,116,161080.0
116,117,161080.0
117,118,161080.0
118,119,161080.0
119,120,161080.0
120,121,161080.0
121,122,161083.0
122,123,161083.0
123,124,161083.0
124,125,161083.0
125,126,161083.0
126,127,161083.0
127,128,161083.0
128,129,161083.0
129,130,161083.0
130,131,161083.0
131,132,161083.0
132,133,161083.0
133,134,161083.0
134,135,161083.0
135,136,161083.0
136,137,161083.0
137,138,161083.0
138,139,161083.0
139,140,161083.0
140,141,161100.0
141,142,161100.0
142,143,161100.0
143,144,161100.0
144,145,161171.0
145,146,161171.0
146,147,161171.0
147,148,161171.0
148,149,161194.0
149,150,161194.0
