,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,58.32,54.910000000000004
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,59.66,56.05
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,custom,na,na,na,na,na,na,na,linear,58.32,54.910000000000004
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,52.46,52.239999999999995
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,58.7,55.25
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,51.62,51.300000000000004
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,na,custom,na,na,na,na,na,na,na,logistic,52.46,52.239999999999995
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,59.14,55.57
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,custom,na,na,na,na,na,na,na,linear,58.7,55.25
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,74.89,74.49
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,55.99,52.94
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,74.8,74.31
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,custom,na,na,na,na,na,na,na,logistic,74.89,74.49
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,54.35,51.339999999999996
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,na,na,na,na,na,na,na,linear,55.99,52.94
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,45.29,44.92
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,65.92,64.1
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,45.06,44.61
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,na,na,na,na,na,na,na,logistic,45.29,44.92
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,65.41,63.44
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,custom,na,na,na,na,na,na,na,linear,65.92,64.1
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,48.73,48.36
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,48.59,48.17
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,63.17,62.12
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,na,custom,na,na,na,na,na,na,na,logistic,48.73,48.36
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,77.03,75.9
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,63.04,61.760000000000005
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,na,na,na,na,na,na,na,linear,63.17,62.12
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,58.89,56.52
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,79.58,78.25
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,58.32,55.75
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,na,na,na,na,na,na,na,logistic,77.03,75.9
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,36.32,35.66
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,linear,58.89,56.52
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,57.32,53.879999999999995
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,36.57,35.86
0,Canada,-,Brand,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,logistic,36.32,35.66
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,55.34,51.910000000000004
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,63.42,62.68
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,custom,na,na,na,na,na,na,na,linear,57.32,53.879999999999995
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,55.69,52.32
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,logistic,64.83,63.89
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,linear,54.35,50.970000000000006
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,na,custom,na,na,na,na,na,na,na,logistic,63.42,62.68
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,50.67,50.09
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,custom,na,na,na,na,na,na,na,linear,55.69,52.32
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,54.91,51.62
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,logistic,49.56,48.82
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,custom,na,na,na,na,na,na,na,logistic,50.67,50.09
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.72,66.85
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,53.3,50.07
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,custom,na,na,na,na,na,na,na,linear,54.91,51.62
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,59.3,56.32
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,67.0,66.0
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,custom,na,na,na,na,na,na,na,logistic,67.72,66.85
0,Canada,-,Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,linear,57.64,54.510000000000005
