,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,anomaly_2022,power,growth,MAPE,period_AE
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,12.66,9.81
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,additive,na,linear,12.66,9.81
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,multiplicative,na,linear,12.66,9.81
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,7.44,2.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,na,linear,12.12,10.59
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,additive,na,logistic,7.44,2.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,multiplicative,na,logistic,7.44,2.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,additive,na,linear,12.12,10.59
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,multiplicative,na,linear,12.12,10.59
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,na,logistic,7.5,2.73
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,na,linear,12.64,9.91
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,additive,na,logistic,7.5,2.73
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,multiplicative,na,logistic,7.5,2.73
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,additive,na,linear,12.64,9.91
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,na,logistic,57.42,57.60999999999999
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,multiplicative,na,linear,12.64,9.91
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,additive,na,logistic,57.42,57.60999999999999
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,12.81,10.0
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,additive,na,na,na,na,na,na,na,additive,na,linear,12.81,10.0
