,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
0,2017-08-10,Canada,Canada,-,Brand,L,1241.5500123985107,555.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,773.3284103692047
1,2017-08-11,Canada,Canada,-,Brand,L,995.119990030304,442.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,619.8337177977036
2,2017-08-12,Canada,Canada,-,Brand,L,0.0,12.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
3,2017-08-13,Canada,Canada,-,Brand,L,0.0,3.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
4,2017-08-14,Canada,Canada,-,Brand,L,998.3500001206992,413.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,621.8456049901141
5,2017-08-15,Canada,Canada,-,Brand,L,1028.9799967575818,495.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,640.9242134813293
6,2017-08-16,Canada,Canada,-,Brand,L,991.8899939525876,528.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,617.8218393334171
7,2017-08-17,Canada,Canada,-,Brand,L,888.200011169538,85.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,553.236112817321
8,2017-08-18,Canada,Canada,-,Brand,L,850.7100141085684,132.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,529.8845929088342
9,2017-08-19,Canada,Canada,-,Brand,L,0.0,17.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
10,2017-08-20,Canada,Canada,-,Brand,L,0.0,9.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
11,2017-08-21,Canada,Canada,-,Brand,L,839.0600182171908,461.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,522.6281209878342
12,2017-08-22,Canada,Canada,-,Brand,L,656.1500023528929,461.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,408.6983474012821
13,2017-08-23,Canada,Canada,-,Brand,L,704.1200114879757,397.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,438.57758749581853
14,2017-08-24,Canada,Canada,-,Brand,L,870.8999901767818,427.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,542.4603908568046
15,2017-08-25,Canada,Canada,-,Brand,L,863.2499956209214,424.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,537.6954131514057
16,2017-08-26,Canada,Canada,-,Brand,L,0.0,7.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
17,2017-08-27,Canada,Canada,-,Brand,L,0.0,7.0,0.0,0.0,0.0,1.0,August,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
18,2017-08-28,Canada,Canada,-,Brand,L,754.5699933860451,129.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,470.00153652306585
19,2017-08-29,Canada,Canada,-,Brand,L,844.9699879735708,307.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,526.3092836243698
20,2017-08-30,Canada,Canada,-,Brand,L,933.390008427203,510.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,581.3837576120292
21,2017-08-31,Canada,Canada,-,Brand,L,822.4199911747123,514.0,0.0,0.0,0.0,0.0,August,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,512.2634916674248
22,2017-09-01,Canada,Canada,-,Brand,L,828.8800115380433,438.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,516.2872661659457
23,2017-09-02,Canada,Canada,-,Brand,L,0.0,2.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
24,2017-09-03,Canada,Canada,-,Brand,L,0.0,11.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
25,2017-09-04,Canada,Canada,-,Brand,L,471.979995097965,14.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,293.98375876139784
26,2017-09-05,Canada,Canada,-,Brand,L,923.5900022201237,447.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,575.2795949556346
27,2017-09-06,Canada,Canada,-,Brand,L,956.5899951700123,447.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,595.8344109801873
28,2017-09-07,Canada,Canada,-,Brand,L,900.4500109180804,479.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,560.8663111484074
29,2017-09-08,Canada,Canada,-,Brand,L,860.8799874205143,409.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,536.2191982137231
30,2017-09-09,Canada,Canada,-,Brand,L,0.0,9.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
31,2017-09-10,Canada,Canada,-,Brand,L,0.0,11.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
32,2017-09-11,Canada,Canada,-,Brand,L,839.9400197416547,469.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,523.1762504818057
33,2017-09-12,Canada,Canada,-,Brand,L,1037.3400075249374,578.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,646.1314413600508
34,2017-09-13,Canada,Canada,-,Brand,L,838.249998934567,520.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,522.123581566994
35,2017-09-14,Canada,Canada,-,Brand,L,1149.1000045854598,460.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,715.7437646709055
36,2017-09-15,Canada,Canada,-,Brand,L,1109.3799909185618,460.0,0.0,0.0,0.0,0.0,September,0,0.0,0.0,0.5,0.5,0,0,0,42.32,26.36,691.0032268575919
37,2017-09-16,Canada,Canada,-,Brand,L,0.0,5.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
38,2017-09-17,Canada,Canada,-,Brand,L,0.0,18.0,0.0,0.0,0.0,1.0,September,0,0.0,0.0,0.5,0.5,1,0,0,42.32,26.36,3309.8742247854957
