market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,periods,periods_for_acc_cal,cutoff_month,MinWeight,MaxWeight
Canada,-,Brand,Jan,2024,Canada_-_Brand_Jan_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Feb,2024,Canada_-_Brand_Feb_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Mar,2024,Canada_-_Brand_Mar_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Apr,2024,Canada_-_Brand_Apr_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,May,2024,Canada_-_Brand_May_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Jun,2024,Canada_-_Brand_Jun_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Jul,2024,Canada_-_Brand_Jul_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Aug,2024,Canada_-_Brand_Aug_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Sep,2024,Canada_-_Brand_Sep_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Brand,Oct,2024,Canada_-_Brand_Oct_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.6,0.8
Canada,-,Brand,Nov,2024,Canada_-_Brand_Nov_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,1.0,1.2
Canada,-,Brand,Dec,2024,Canada_-_Brand_Dec_2024,cost,0.5,0.01,1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Jan,2024,Canada_-_Non_Brand_Jan_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Feb,2024,Canada_-_Non_Brand_Feb_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Mar,2024,Canada_-_Non_Brand_Mar_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Apr,2024,Canada_-_Non_Brand_Apr_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,May,2024,Canada_-_Non_Brand_May_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Jun,2024,Canada_-_Non_Brand_Jun_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Jul,2024,Canada_-_Non_Brand_Jul_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Aug,2024,Canada_-_Non_Brand_Aug_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Sep,2024,Canada_-_Non_Brand_Sep_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Canada,-,Non_Brand,Oct,2024,Canada_-_Non_Brand_Oct_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.6,0.8
Canada,-,Non_Brand,Nov,2024,Canada_-_Non_Brand_Nov_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,1.0,1.2
Canada,-,Non_Brand,Dec,2024,Canada_-_Non_Brand_Dec_2024,cost,0.001,0.01,10,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
