,Conversion Quantity
0,-104147.0
1,-104147.0
2,-104147.0
3,-104147.0
4,-104147.0
5,-104147.0
6,-104147.0
7,-104147.0
8,-104147.0
9,-104147.0
10,-104147.0
11,-104147.0
12,-104147.0
13,-104147.0
14,-104147.0
15,-104147.0
16,-104147.0
17,-104147.0
18,-104147.0
19,-104147.0
20,-104147.0
21,-104147.0
22,-104147.0
23,-104147.0
24,-104147.0
25,-104147.0
26,-104147.0
27,-104147.0
28,-104147.0
29,-104147.0
30,-104147.0
31,-104147.0
32,-104147.0
33,-104147.0
34,-104147.0
35,-104147.0
36,-104147.0
37,-104147.0
38,-104147.0
39,-104147.0
40,-104147.0
41,-104147.0
42,-104147.0
43,-104147.0
44,-104147.0
45,-104147.0
46,-104147.0
47,-104147.0
48,-104147.0
49,-104147.0
50,-104147.0
51,-104147.0
52,-104147.0
53,-104147.0
54,-104147.0
55,-104147.0
56,-104147.0
57,-104147.0
58,-104147.0
59,-104147.0
60,-104147.0
61,-104147.0
62,-104147.0
63,-104147.0
64,-104147.0
65,-104147.0
66,-104147.0
67,-104147.0
68,-104147.0
69,-104147.0
70,-104147.0
71,-104147.0
72,-104147.0
73,-104147.0
74,-104147.0
75,-104147.0
76,-104147.0
77,-104147.0
78,-104147.0
79,-104147.0
80,-104147.0
81,-104147.0
82,-104147.0
83,-104147.0
84,-104147.0
85,-104147.0
86,-104147.0
87,-104147.0
88,-104147.0
89,-104147.0
90,-104147.0
91,-104147.0
92,-104147.0
93,-104147.0
94,-104147.0
95,-104147.0
96,-104147.0
97,-104147.0
98,-104147.0
99,-104147.0
100,-104147.0
101,-104147.0
102,-104147.0
103,-104147.0
104,-104147.0
105,-104147.0
106,-104147.0
107,-104147.0
108,-104147.0
109,-104147.0
110,-104147.0
111,-104147.0
112,-104147.0
113,-104147.0
114,-104147.0
115,-104147.0
116,-104147.0
117,-104147.0
118,-104147.0
119,-104147.0
120,-104147.0
121,-104147.0
122,-104147.0
123,-104147.0
124,-104147.0
125,-104147.0
126,-104147.0
127,-104147.0
128,-104147.0
129,-104147.0
130,-104147.0
131,-104147.0
132,-104147.0
133,-104147.0
134,-104147.0
135,-104147.0
136,-104147.0
137,-104147.0
138,-104147.0
139,-104147.0
140,-104147.0
141,-104147.0
142,-104147.0
143,-104147.0
144,-104147.0
145,-104147.0
146,-104147.0
147,-104147.0
148,-104147.0
149,-104147.0
