,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,linear,9.06,5.7700000000000005
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,linear,9.06,5.7700000000000005
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,linear,9.06,5.7700000000000005
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,linear,9.72,7.35
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,logistic,23.0,24.16
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,logistic,23.0,24.16
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,logistic,23.0,24.16
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,linear,9.72,7.35
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,linear,9.72,7.35
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,linear,11.52,10.040000000000001
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,logistic,24.07,25.380000000000003
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,logistic,24.07,25.380000000000003
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,linear,11.52,10.040000000000001
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,logistic,24.07,25.380000000000003
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,linear,11.52,10.040000000000001
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,logistic,23.05,24.25
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,12.94,11.77
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,logistic,23.05,24.25
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,linear,12.94,11.77
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,logistic,23.05,24.25
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,linear,12.94,11.77
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,linear,13.15,11.98
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,27.59,10.94
0,Canada,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,logistic,27.59,10.94
