,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,linear,36.49,36.67
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,linear,35.88,36.05
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,logistic,26.79,6.98
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,logistic,33.72,32.519999999999996
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,linear,35.88,36.05
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,logistic,25.38,2.6599999999999997
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,linear,35.62,35.8
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,logistic,33.72,32.519999999999996
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,linear,23.21,21.81
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,logistic,33.86,32.690000000000005
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,logistic,22.4,12.989999999999998
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,logistic,25.38,2.6599999999999997
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,linear,26.4,26.650000000000002
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,linear,23.21,21.81
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,logistic,22.07,11.899999999999999
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,linear,24.83,24.97
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,logistic,25.28,2.37
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,linear,35.46,35.6
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,25.6,25.88
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,linear,36.19,36.32
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,26.65,6.65
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,logistic,32.24,31.169999999999998
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,linear,36.19,36.32
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,logistic,25.19,1.8499999999999999
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,linear,26.72,26.91
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,linear,35.87,36.01
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,logistic,32.24,31.169999999999998
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,logistic,32.61,31.619999999999997
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,logistic,21.72,11.62
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,linear,26.72,26.91
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,logistic,25.19,1.8499999999999999
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,linear,26.09,26.290000000000003
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,linear,26.53,26.72
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,logistic,21.54,11.12
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,logistic,25.12,1.7500000000000002
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,linear,36.44,36.61
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,linear,35.46,35.65
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,linear,24.11,23.369999999999997
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,logistic,33.43,32.14
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,logistic,33.82,32.64
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,linear,35.46,35.65
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,linear,35.44,35.63
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,logistic,22.09,11.940000000000001
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,logistic,33.82,32.64
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,linear,26.65,26.91
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,logistic,33.83,32.66
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,linear,26.0,26.26
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,logistic,21.97,11.55
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,logistic,22.09,11.940000000000001
0,India,-,Brand,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,linear,26.65,26.91
