,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,linear,38.45,26.450000000000003
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,linear,57.31,49.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,linear,37.57,28.4
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,logistic,362.48,200.95999999999998
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,logistic,353.4,200.01000000000002
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,linear,53.27,45.92
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,logistic,333.29,213.59
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,linear,57.76,50.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,linear,55.79,49.25
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,logistic,353.4,200.01000000000002
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,linear,37.54,28.38
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,logistic,354.57,200.99
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,330.12,211.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,linear,50.72,44.64
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,logistic,333.29,213.59
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,37.37,27.16
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,na,linear,38.2,27.74
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,logistic,329.99,211.49
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,na,linear,58.74,51.03
