,ds,region,market,account_type,funnel,Identifier,X,y,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Mar_2018,Apr_2019,May_2019,Account Type,AOV,ROAS,Month of Ds,floor,cap,new_confirmed
0,2017-08-10,Europe,SM,-,-,S,827.6400080565363,108.0,BrandNon_BrandBrandBrandNon_BrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,308.90865713148185,0
1,2017-08-10,Europe,France,-,Brand,L,173.279993949458,173.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,37.71983187723815,0
2,2017-08-10,Europe,France,-,Non_Brand,L,1159.84000146389,3.0,0,1159.84000146389,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,208.12850541732823,0
3,2017-08-10,Europe,Germany,-,Brand,L,503.5100011173638,654.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,165.79733937157422,0
4,2017-08-10,Europe,Italy,-,Brand,L,64.96000075340274,117.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,21.75258046258458,0
5,2017-08-10,Europe,Italy,-,Non_Brand,L,510.8999964296818,2.0,0,510.8999964296818,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,144.3794572844187,0
6,2017-08-10,Europe,Poland,-,Brand,L,42.510000700131044,333.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,72.87128945288997,0
7,2017-08-10,Europe,Poland,-,Non_Brand,L,117.83000156283379,3.0,0,117.83000156283379,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,90.02948556910269,0
8,2017-08-10,Europe,UK,-,Brand,L,2409.129976354541,580.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,625.1671484408805,0
9,2017-08-10,Europe,UK,-,Non_Brand,L,1220.18998503685,5.0,0,1220.18998503685,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,268.9827676374337,0
10,2017-08-11,Europe,SM,-,-,S,1486.4499971978366,302.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,554.8031366991531,0
11,2017-08-11,Europe,France,-,Brand,L,147.99000332504514,295.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,32.21467128259949,0
12,2017-08-11,Europe,France,-,Non_Brand,L,1101.0400021672249,3.0,0,1101.0400021672249,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,197.57708801776556,0
