market,account_type,funnel,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,dec_2022,power,growth,MAPE,period_AE
France,-,Brand,0.001,0.01,10,additive,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72
France,-,Non_Brand,0.0001,0.01,1,multiplicative,multiplicative,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000
Germany,-,Brand,0.05,1,10,multiplicative,multiplicative,additive,default,False,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96
Germany,-,Non_Brand,0.001,0.01,1,additive,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78
Italy,-,Brand,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42
Italy,-,Non_Brand,0.05,10,10,additive,multiplicative,multiplicative,default,False,na,na,na,na,na,na,na,na,na,linear,10.78,2.59
Poland,-,Brand,0.1,0.01,10,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36
Poland,-,Non_Brand,0.1,0.01,0.1,multiplicative,additive,na,na,False,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000
SM,-,-,0.001,0.01,0.01,additive,multiplicative,na,default,False,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37
UK,-,Brand,0.05,0.01,1,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87
UK,-,Non_Brand,0.1,0.01,1,multiplicative,additive,na,default,False,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000
India,-,Brand,0.1,0.01,1,multiplicative,multiplicative,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54
India,-,Non_Brand,0.05,0.01,0.1,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04
