,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Poland,-,Brand,183,0.1,0.01,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,linear,6.07,0.36
0,Poland,-,Brand,183,0.1,0.01,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,linear,6.07,0.36
0,Poland,-,Non_Brand,183,0.1,0.01,0.1,multiplicative,additive,na,na,False,na,na,na,na,na,na,linear,27.96,20.830000000000002
0,Poland,-,Brand,183,0.1,0.01,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,linear,6.07,0.36
0,Poland,-,Non_Brand,183,0.1,0.01,0.1,multiplicative,additive,na,na,False,na,na,na,na,na,na,linear,27.96,20.830000000000002
0,SM,-,-,183,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,False,na,na,additive,additive,na,na,logistic,12.04,2.76
0,Poland,-,Brand,183,0.1,0.01,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,linear,6.07,0.36
0,Poland,-,Non_Brand,183,0.1,0.01,0.1,multiplicative,additive,na,na,False,na,na,na,na,na,na,linear,27.96,20.830000000000002
0,SM,-,-,183,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,False,na,na,additive,additive,na,na,logistic,12.04,2.76
0,UK,-,Brand,183,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,logistic,19.26,9.87
0,UK,-,Brand,183,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,False,na,na,additive,na,na,na,logistic,19.26,9.87
0,Poland,-,Brand,183,0.1,0.01,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,linear,6.07,0.36
0,Poland,-,Non_Brand,183,0.1,0.01,0.1,multiplicative,additive,na,na,False,na,na,na,na,na,na,linear,27.96,20.830000000000002
0,SM,-,-,183,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,False,na,na,additive,additive,na,na,logistic,12.04,2.76
0,UK,-,Brand,183,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,logistic,19.26,9.87
0,UK,-,Brand,183,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,False,na,na,additive,na,na,na,logistic,19.26,9.87
0,UK,-,Non_Brand,183,0.1,0.01,1.0,multiplicative,additive,na,default,False,na,na,multiplicative,additive,na,na,logistic,28.25,31.290000000000003
