,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,linear,61.02,15.98
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,linear,58.12,12.31
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,linear,60.03,15.02
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,logistic,187.29,81.44
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,logistic,211.56,107.07
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,linear,58.13,12.31
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,logistic,110.3,34.54
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,linear,57.79,13.43
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,logistic,187.29,81.44
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,linear,57.92,12.19
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,logistic,193.79,88.78
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,linear,60.03,15.02
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,logistic,115.17,28.470000000000002
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,logistic,110.3,34.54
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,57.59,11.35
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,linear,60.84,16.97
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,logistic,115.17,28.470000000000002
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,linear,57.48,14.31
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,linear,54.49,9.06
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,logistic,105.01,28.000000000000004
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,212.22,108.24000000000001
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,linear,56.29,11.55
0,France,-,Non_Brand,183,0.005,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,linear,55.03,10.52
