,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,nov_dec_2018,jul_dec_2019,power,growth,MAPE,period_AE
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,na,na,na,na,na,linear,52.81,60.96
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,additive,na,na,na,na,linear,44.66,52.449999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,na,na,na,na,na,logistic,97.64,33.28
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,multiplicative,na,na,na,na,linear,46.35,55.269999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,additive,na,na,na,na,logistic,110.84,52.88
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,na,multiplicative,na,na,na,na,logistic,114.88,53.010000000000005
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,na,na,na,na,na,linear,44.66,52.449999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,additive,na,na,na,na,linear,45.42,53.53
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,na,na,na,na,na,logistic,113.83,55.93
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,multiplicative,na,na,na,na,linear,52.09,59.75
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,additive,na,na,na,na,logistic,114.6,56.75
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,na,na,na,na,na,linear,46.08,54.87
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,additive,multiplicative,na,na,na,na,logistic,117.49,59.19
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,na,na,linear,52.21,59.85
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,na,na,na,na,na,logistic,115.28,53.44
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,46.41,55.37
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,na,na,logistic,119.21,61.029999999999994
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,na,na,na,na,na,linear,58.47,66.47
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,115.45,53.5
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,na,na,na,na,na,logistic,91.52,30.0
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,additive,na,na,na,na,linear,50.41,60.06
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,multiplicative,na,na,na,na,linear,52.22,61.019999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,additive,na,na,na,na,logistic,103.9,48.02
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,na,multiplicative,na,na,na,na,logistic,102.88,41.03
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,na,na,na,na,na,linear,49.35,58.84
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,na,na,na,na,na,logistic,111.96,54.89000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,additive,na,na,na,na,linear,49.26,58.720000000000006
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,multiplicative,na,na,na,na,linear,56.83,64.37
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,additive,na,na,na,na,logistic,107.95,51.9
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,na,na,na,na,na,linear,52.14,60.95
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,additive,multiplicative,na,na,na,na,logistic,105.54,49.64
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,additive,na,na,na,na,linear,57.64,65.06
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,na,na,na,na,na,logistic,101.91,39.739999999999995
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,52.48,61.23
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,additive,na,na,na,na,logistic,100.62,45.03
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,na,na,na,na,na,linear,52.09,60.29
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,105.44,44.019999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,additive,na,na,na,na,linear,42.87,42.92
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,na,na,na,na,na,logistic,133.24,64.14999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,multiplicative,na,na,na,na,linear,46.55,50.92
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,additive,na,na,na,na,logistic,158.95,93.35
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,na,na,na,na,na,linear,43.16,44.2
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,na,multiplicative,na,na,na,na,logistic,168.61,96.84
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,additive,na,na,na,na,linear,43.41,45.51
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,na,na,na,na,na,logistic,158.27,92.75
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,na,linear,49.34,55.34
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,additive,na,na,na,na,logistic,146.57,82.82000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,na,na,na,na,na,linear,46.51,50.6
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,na,logistic,169.8,102.47
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,na,linear,49.05,54.900000000000006
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,na,na,na,na,na,logistic,165.44,94.04
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,46.57,51.12
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,na,logistic,171.72,104.19
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,na,na,na,na,na,linear,55.53,63.81
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,167.57,95.89999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,na,na,na,na,na,logistic,119.78,54.04
