market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,periods,cutoff_month,MinWeight,MaxWeight
Mexico,-,Brand,Apr,2024,Mexico_-_Brand_Apr_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,May,2024,Mexico_-_Brand_May_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Jun,2024,Mexico_-_Brand_Jun_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Jul,2024,Mexico_-_Brand_Jul_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Aug,2024,Mexico_-_Brand_Aug_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Sep,2024,Mexico_-_Brand_Sep_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Oct,2024,Mexico_-_Brand_Oct_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Brand,Nov,2024,Mexico_-_Brand_Nov_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.7,0.8
Mexico,-,Brand,Dec,2024,Mexico_-_Brand_Dec_2024,cost,183,0.5,1.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,multiplicative,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Apr,2024,Mexico_-_Non_Brand_Apr_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,May,2024,Mexico_-_Non_Brand_May_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Jun,2024,Mexico_-_Non_Brand_Jun_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Jul,2024,Mexico_-_Non_Brand_Jul_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Aug,2024,Mexico_-_Non_Brand_Aug_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Sep,2024,Mexico_-_Non_Brand_Sep_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Oct,2024,Mexico_-_Non_Brand_Oct_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
Mexico,-,Non_Brand,Nov,2024,Mexico_-_Non_Brand_Nov_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.7,0.8
Mexico,-,Non_Brand,Dec,2024,Mexico_-_Non_Brand_Dec_2024,cost,183,0.05,1.0,1.0,multiplicative,multiplicative,na,na,na,na,additive,na,na,na,na,linear,251.0,2024-04-25,0.8,1.2
