region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS,floor,cap,new_confirmed
LATAM,Mexico,-,Brand,2018-07-17,5.109999924898148,3.0,0,0,0,0,0,July,60.9,20.69,0,1.7360574457494693,0
LATAM,Mexico,-,Brand,2018-07-18,4.640000002458692,2.0,0,0,0,0,0,July,60.9,20.69,0,1.5763809532162618,0
LATAM,Mexico,-,Brand,2018-07-19,5.610000090673566,3.0,0,0,0,0,0,July,60.9,20.69,0,1.9059261391795745,0
LATAM,Mexico,-,Brand,2018-07-20,4.960000077262521,1.0,0,0,0,0,0,July,60.9,20.69,0,1.6850969063803214,0
LATAM,Mexico,-,Brand,2018-07-21,0.05000000074505806,1.0,0,0,1,0,0,July,60.9,20.69,0,0.01698686396412564,0
LATAM,Mexico,-,Brand,2018-07-23,6.379999997094274,2.0,0,0,0,0,0,July,60.9,20.69,0,2.167523808536626,0
LATAM,Mexico,-,Brand,2018-07-24,6.0200001280754805,2.0,0,0,0,0,0,July,60.9,20.69,0,2.0452184343166127,0
LATAM,Mexico,-,Brand,2018-07-25,6.550000082701445,6.0,0,0,0,0,0,July,60.9,20.69,0,2.2252791742379783,0
LATAM,Mexico,-,Brand,2018-07-26,7.010000120848417,5.0,0,0,0,0,0,July,60.9,20.69,0,2.381558333339142,0
LATAM,Mexico,-,Brand,2018-07-27,4.629999907687306,5.0,0,0,0,0,0,July,60.9,20.69,0,1.5729835482766892,0
LATAM,Mexico,-,Brand,2018-07-28,0.03999999910593033,5.0,0,0,1,0,0,July,60.9,20.69,0,0.013589490665052521,0
LATAM,Mexico,-,Brand,2018-07-29,0.0,5.0,0,0,1,0,0,July,60.9,20.69,0,27.532899263560964,0
LATAM,Mexico,-,Brand,2018-07-30,7.220000054687262,3.0,0,0,0,0,0,July,60.9,20.69,0,2.4529031384479385,0
LATAM,Mexico,-,Brand,2018-07-31,5.87000010535121,4.0,0,0,0,0,0,July,60.9,20.69,0,1.9942578354633256,0
LATAM,Mexico,-,Brand,2018-08-01,4.4200000036507845,4.0,0,0,0,0,0,August,60.9,20.69,0,1.5016387532928528,0
LATAM,Mexico,-,Brand,2018-08-02,4.019999934360385,6.0,0,0,0,0,0,August,60.9,20.69,0,1.3657438200643082,0
LATAM,Mexico,-,Brand,2018-08-03,5.549999870359898,5.0,0,0,0,0,0,August,60.9,20.69,0,1.8855418278776075,0
LATAM,Mexico,-,Brand,2018-08-04,0.019999999552965164,5.0,0,0,1,0,0,August,60.9,20.69,0,0.0067947453325262605,0
LATAM,Mexico,-,Brand,2018-08-06,6.740000074729323,5.0,0,0,0,0,0,August,60.9,20.69,0,2.289829253631358,0
LATAM,Mexico,-,Brand,2018-08-07,5.479999924078584,13.0,0,0,0,0,0,August,60.9,20.69,0,1.861760236932445,0
LATAM,Mexico,-,Brand,2018-08-08,7.189999770373106,5.0,0,0,0,0,0,August,60.9,20.69,0,2.4427109236292215,0
LATAM,Mexico,-,Brand,2018-08-09,5.880000051110983,3.0,0,0,0,0,0,August,60.9,20.69,0,1.9976551897780994,0
LATAM,Mexico,-,Brand,2018-08-10,6.109999783337116,4.0,0,0,0,0,0,August,60.9,20.69,0,2.0757946718759435,0
LATAM,Mexico,-,Brand,2018-08-11,0.0,4.0,0,0,1,0,0,August,60.9,20.69,0,27.532899263560964,0
LATAM,Mexico,-,Brand,2018-08-13,7.000000078231096,6.0,0,0,0,0,0,August,60.9,20.69,0,2.3781609461182494,0
LATAM,Mexico,-,Brand,2018-08-14,6.469999995082617,7.0,0,0,0,0,0,August,60.9,20.69,0,2.1981001625329943,0
LATAM,Mexico,-,Brand,2018-08-15,6.330000169575214,5.0,0,0,0,0,0,August,60.9,20.69,0,2.150537003423829,0
LATAM,Mexico,-,Brand,2018-08-16,5.45000004209578,5.0,0,0,0,0,0,August,60.9,20.69,0,1.851568158800685,0
LATAM,Mexico,-,Brand,2018-08-17,5.249999960884452,2.0,0,0,0,0,0,August,60.9,20.69,0,1.7836206763661628,0
LATAM,Mexico,-,Brand,2018-08-18,0.029999999329447746,2.0,0,0,1,0,0,August,60.9,20.69,0,0.01019211799878939,0
LATAM,Mexico,-,Brand,2018-08-19,0.0,1.0,0,0,1,0,0,August,60.9,20.69,0,27.532899263560964,0
LATAM,Mexico,-,Brand,2018-08-20,6.220000023022294,8.0,0,0,0,0,0,August,60.9,20.69,0,2.113165853470136,0
LATAM,Mexico,-,Brand,2018-08-21,6.150000127032399,6.0,0,0,0,0,0,August,60.9,20.69,0,2.0893842796108433,0
