Region,Market,Account_type,Funnel,WeekStart,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
Mexico,Mexico,-,Brand,2024-05-26,2024-06-01,7.0,72.43,Jun,2024,5.0,63.29,2024-01-06
Mexico,Mexico,-,Brand,2024-05-26,2024-06-02,0.0,27.29,Jun,2024,0.0,23.84,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-03,114.0,512.1,Jun,2024,100.0,447.49,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-04,130.0,573.8,Jun,2024,114.0,501.4,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-05,124.0,535.26,Jun,2024,110.0,467.72,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-06,182.0,797.58,Jun,2024,160.0,696.94,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-07,66.0,270.75,Jun,2024,59.0,236.59,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-08,2.0,40.92,Jun,2024,1.0,35.76,2024-01-06
Mexico,Mexico,-,Brand,2024-06-02,2024-06-09,0.0,21.34,Jun,2024,0.0,18.65,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-10,94.0,418.37,Jun,2024,83.0,365.59,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-11,88.0,382.72,Jun,2024,78.0,334.43,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-12,61.0,245.24,Jun,2024,54.0,214.3,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-13,56.0,220.63,Jun,2024,50.0,192.79,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-14,42.0,167.77,Jun,2024,37.0,146.6,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-15,0.0,25.12,Jun,2024,0.0,21.95,2024-01-06
Mexico,Mexico,-,Brand,2024-06-09,2024-06-16,0.0,15.57,Jun,2024,0.0,13.6,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-17,51.0,233.95,Jun,2024,45.0,204.43,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-18,66.0,293.39,Jun,2024,58.0,256.37,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-19,71.0,310.15,Jun,2024,63.0,271.02,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-20,54.0,233.08,Jun,2024,48.0,203.67,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-21,48.0,215.51,Jun,2024,42.0,188.32,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-22,0.0,37.38,Jun,2024,0.0,32.66,2024-01-06
Mexico,Mexico,-,Brand,2024-06-16,2024-06-23,0.0,26.38,Jun,2024,0.0,23.05,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-24,117.0,560.34,Jun,2024,102.0,489.64,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-25,159.0,746.71,Jun,2024,138.0,652.5,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-26,136.0,632.82,Jun,2024,119.0,552.98,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-27,39.0,184.95,Jun,2024,34.0,161.62,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-28,76.0,365.73,Jun,2024,66.0,319.59,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-29,0.0,75.07,Jun,2024,0.0,65.59,2024-01-06
Mexico,Mexico,-,Brand,2024-06-23,2024-06-30,0.0,44.35,Jun,2024,0.0,38.76,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-01,124.0,609.11,Jul,2024,106.0,526.23,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-02,112.0,548.58,Jul,2024,96.0,473.94,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-03,117.0,559.85,Jul,2024,100.0,483.67,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-04,97.0,471.0,Jul,2024,83.0,406.91,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-05,94.0,465.61,Jul,2024,81.0,402.25,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-06,0.0,46.39,Jul,2024,0.0,40.07,2024-01-06
Mexico,Mexico,-,Brand,2024-06-30,2024-07-07,0.0,20.56,Jul,2024,0.0,17.76,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-08,82.0,425.09,Jul,2024,69.0,367.25,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-09,104.0,518.02,Jul,2024,89.0,447.53,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-10,109.0,532.8,Jul,2024,94.0,460.3,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-11,64.0,320.82,Jul,2024,54.0,277.17,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-12,58.0,298.95,Jul,2024,49.0,258.27,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-13,0.0,43.41,Jul,2024,0.0,37.5,2024-01-06
Mexico,Mexico,-,Brand,2024-07-07,2024-07-14,0.0,29.9,Jul,2024,0.0,25.83,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-15,67.0,353.97,Jul,2024,56.0,305.8,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-16,71.0,362.69,Jul,2024,60.0,313.34,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-17,82.0,401.51,Jul,2024,70.0,346.87,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-18,71.0,351.16,Jul,2024,61.0,303.38,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-19,62.0,313.08,Jul,2024,53.0,270.48,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-20,0.0,52.86,Jul,2024,0.0,45.66,2024-01-06
Mexico,Mexico,-,Brand,2024-07-14,2024-07-21,0.0,29.58,Jul,2024,0.0,25.55,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-22,109.0,540.96,Jul,2024,93.0,467.35,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-23,131.0,633.59,Jul,2024,112.0,547.38,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-24,98.0,468.31,Jul,2024,84.0,404.59,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-25,71.0,340.33,Jul,2024,61.0,294.02,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-26,59.0,293.75,Jul,2024,50.0,253.78,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-27,0.0,32.11,Jul,2024,0.0,27.74,2024-01-06
Mexico,Mexico,-,Brand,2024-07-21,2024-07-28,0.0,19.71,Jul,2024,0.0,17.02,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-07-29,72.0,364.86,Jul,2024,61.0,315.22,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-07-30,73.0,361.11,Jul,2024,62.0,311.98,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-07-31,68.0,326.23,Jul,2024,58.0,281.84,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-08-01,41.0,200.34,Aug,2024,40.0,195.82,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-08-02,45.0,226.37,Aug,2024,44.0,221.26,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-08-03,0.0,36.96,Aug,2024,0.0,36.13,2024-01-06
Mexico,Mexico,-,Brand,2024-07-28,2024-08-04,0.0,23.5,Aug,2024,0.0,22.97,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-05,96.0,478.52,Aug,2024,94.0,467.72,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-06,102.0,500.4,Aug,2024,100.0,489.11,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-07,89.0,431.13,Aug,2024,87.0,421.4,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-08,57.0,281.13,Aug,2024,56.0,274.79,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-09,75.0,371.83,Aug,2024,73.0,363.44,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-10,0.0,64.42,Aug,2024,0.0,62.97,2024-01-06
Mexico,Mexico,-,Brand,2024-08-04,2024-08-11,0.0,41.86,Aug,2024,0.0,40.91,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-12,102.0,518.8,Aug,2024,100.0,507.09,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-13,104.0,519.4,Aug,2024,101.0,507.67,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-14,96.0,475.94,Aug,2024,94.0,465.2,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-15,82.0,413.03,Aug,2024,80.0,403.7,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-16,69.0,361.73,Aug,2024,67.0,353.57,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-17,0.0,61.08,Aug,2024,0.0,59.7,2024-01-06
Mexico,Mexico,-,Brand,2024-08-11,2024-08-18,0.0,46.98,Aug,2024,0.0,45.92,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-19,124.0,636.32,Aug,2024,121.0,621.96,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-20,115.0,587.46,Aug,2024,112.0,574.2,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-21,113.0,567.79,Aug,2024,110.0,554.97,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-22,81.0,420.05,Aug,2024,79.0,410.57,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-23,42.0,249.61,Aug,2024,41.0,243.98,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-24,0.0,61.65,Aug,2024,0.0,60.26,2024-01-06
Mexico,Mexico,-,Brand,2024-08-18,2024-08-25,0.0,38.59,Aug,2024,0.0,37.72,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-26,79.0,433.72,Aug,2024,76.0,423.93,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-27,86.0,463.36,Aug,2024,84.0,452.9,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-28,93.0,485.13,Aug,2024,91.0,474.18,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-29,98.0,507.55,Aug,2024,96.0,496.09,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-30,96.0,501.92,Aug,2024,93.0,490.59,2024-01-06
Mexico,Mexico,-,Brand,2024-08-25,2024-08-31,26.0,231.05,Aug,2024,24.0,225.84,2024-01-06
