ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
2024-04-25,LATAM,Mexico,-,Brand,L,1022.6799999999998,0,0.0,0.0,0.5,0.5,1,Apr,2024,1022.6799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-25,LATAM,Mexico,-,Non_Brand,L,193.62,0,193.62,0.0,1.0,0.0,1,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
2024-04-26,LATAM,Mexico,-,Brand,L,807.22,0,0.0,0.0,0.5,0.5,1,Apr,2024,807.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-26,LATAM,Mexico,-,Non_Brand,L,240.38,0,240.38,0.0,1.0,0.0,1,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
2024-04-27,LATAM,Mexico,-,Brand,L,51.02,0,0.0,0.0,0.5,0.5,1,Apr,2024,51.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-27,LATAM,Mexico,-,Non_Brand,L,59.6,0,59.6,0.0,1.0,0.0,1,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
2024-04-28,LATAM,Mexico,-,Brand,L,26.2,0,0.0,0.0,0.5,0.5,1,Apr,2024,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-28,LATAM,Mexico,-,Non_Brand,L,20.48,0,20.48,0.0,1.0,0.0,1,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
2024-04-29,LATAM,Mexico,-,Brand,L,128.29999999999998,0,0.0,0.0,0.5,0.5,0,Apr,2024,128.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-29,LATAM,Mexico,-,Non_Brand,L,59.32000000000001,0,59.32000000000001,0.0,1.0,0.0,0,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.32000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
2024-04-30,LATAM,Mexico,-,Brand,L,553.22,0,0.0,0.0,0.5,0.5,0,Apr,2024,553.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-04-30,LATAM,Mexico,-,Non_Brand,L,123.7,0,123.7,0.0,1.0,0.0,0,Apr,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,3.79
