,iteration,Conversion Quantity
0,1,17655.0
1,2,17669.0
2,3,17669.0
3,4,17669.0
4,5,17669.0
5,6,17669.0
6,7,17669.0
7,8,17669.0
8,9,17669.0
9,10,17672.0
10,11,17672.0
11,12,17672.0
12,13,17672.0
13,14,17672.0
14,15,17672.0
15,16,17672.0
16,17,17672.0
17,18,17672.0
18,19,17672.0
19,20,17672.0
20,21,17672.0
21,22,17672.0
22,23,17672.0
23,24,17672.0
24,25,17673.0
25,26,17673.0
26,27,17673.0
27,28,17673.0
28,29,17673.0
29,30,17673.0
30,31,17673.0
31,32,17673.0
32,33,17673.0
33,34,17673.0
34,35,17673.0
35,36,17673.0
36,37,17673.0
37,38,17673.0
38,39,17673.0
39,40,17675.0
40,41,17675.0
41,42,17675.0
42,43,17675.0
43,44,17675.0
44,45,17675.0
45,46,17675.0
46,47,17676.0
47,48,17676.0
48,49,17676.0
49,50,17676.0
50,51,17676.0
51,52,17676.0
52,53,17676.0
53,54,17676.0
54,55,17676.0
55,56,17676.0
56,57,17676.0
57,58,17676.0
58,59,17676.0
59,60,17676.0
60,61,17676.0
61,62,17676.0
62,63,17676.0
63,64,17676.0
64,65,17676.0
65,66,17676.0
66,67,17676.0
67,68,17676.0
68,69,17676.0
69,70,17676.0
70,71,17676.0
71,72,17676.0
72,73,17676.0
73,74,17676.0
74,75,17676.0
75,76,17676.0
76,77,17676.0
77,78,17676.0
78,79,17676.0
79,80,17676.0
80,81,17676.0
81,82,17676.0
82,83,17676.0
83,84,17676.0
84,85,17676.0
85,86,17676.0
86,87,17676.0
87,88,17676.0
88,89,17676.0
89,90,17676.0
90,91,17676.0
91,92,17676.0
92,93,17676.0
93,94,17676.0
94,95,17676.0
95,96,17676.0
96,97,17676.0
97,98,17676.0
98,99,17676.0
99,100,17676.0
