region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS
LATAM,Mexico,-,Brand,2018-07-17,5.109999924898148,3.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-18,4.640000002458692,2.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-19,5.610000090673566,3.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-20,4.960000077262521,1.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-21,0.05000000074505806,1.0,0,0,1,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-23,6.379999997094274,2.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-24,6.0200001280754805,2.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-25,6.550000082701445,6.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-26,7.010000120848417,5.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-27,4.629999907687306,5.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-28,0.03999999910593033,5.0,0,0,1,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-29,0.0,5.0,0,0,1,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-30,7.220000054687262,3.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-07-31,5.87000010535121,4.0,0,0,0,0,0,July,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-01,4.4200000036507845,4.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-02,4.019999934360385,6.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-03,5.549999870359898,5.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-04,0.019999999552965164,5.0,0,0,1,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-06,6.740000074729323,5.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-07,5.479999924078585,13.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-08,7.189999770373106,5.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-09,5.880000051110983,3.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-10,6.109999783337116,4.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-11,0.0,4.0,0,0,1,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-13,7.000000078231096,6.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-14,6.469999995082617,7.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-15,6.330000169575214,5.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-16,5.450000042095781,5.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-17,5.249999960884452,2.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-18,0.029999999329447746,2.0,0,0,1,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-19,0.0,1.0,0,0,1,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-20,6.220000023022293,8.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-21,6.150000127032399,6.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-22,6.970000127330422,6.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-23,6.189999828115104,15.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-24,4.840000133961439,4.0,0,0,0,0,0,August,60.9,20.69
LATAM,Mexico,-,Brand,2018-08-25,0.019999999552965164,4.0,0,0,1,0,0,August,60.9,20.69
