,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,20.57,6.15
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,additive,na,na,na,na,linear,25.61,12.870000000000001
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,multiplicative,na,na,na,na,linear,25.49,11.379999999999999
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,additive,na,na,na,na,logistic,64.59,64.96
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,64.78,65.23
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,23.57,8.24
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,multiplicative,na,na,na,na,logistic,65.35,65.67
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,additive,na,na,na,na,linear,25.19,11.49
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,multiplicative,na,na,na,na,linear,24.11,11.68
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,65.86,66.33
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,additive,na,na,na,na,logistic,63.99,64.35
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,linear,20.91,6.1
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,multiplicative,na,na,na,na,logistic,65.12,65.44
0,Mexico,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Custom,na,na,additive,na,na,na,na,linear,26.37,13.79
