,ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Feb_2024,Mexico_-_Brand_Jan_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_Mar_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Feb_2024,Mexico_-_Non_Brand_Jan_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_Mar_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
0,2024-01-01,LATAM,Mexico,-,Brand,L,464.04,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,464.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
1,2024-01-02,LATAM,Mexico,-,Brand,L,669.34,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,669.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2,2024-01-03,LATAM,Mexico,-,Brand,L,608.5200000000001,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,608.5200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
3,2024-01-04,LATAM,Mexico,-,Brand,L,762.4000000000001,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,762.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
4,2024-01-05,LATAM,Mexico,-,Brand,L,481.4,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,481.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
5,2024-01-06,LATAM,Mexico,-,Brand,L,76.25999999999999,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,76.25999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
6,2024-01-07,LATAM,Mexico,-,Brand,L,62.16,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,62.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
7,2024-01-08,LATAM,Mexico,-,Brand,L,670.42,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,670.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
8,2024-01-09,LATAM,Mexico,-,Brand,L,793.42,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,793.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
9,2024-01-10,LATAM,Mexico,-,Brand,L,765.32,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,765.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
