market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,power,growth,periods,periods_for_acc_cal,cutoff_month,MinWeight,MaxWeight
Mexico,-,Brand,Jan,2024,Mexico_-_Brand_Jan_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Feb,2024,Mexico_-_Brand_Feb_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Mar,2024,Mexico_-_Brand_Mar_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Apr,2024,Mexico_-_Brand_Apr_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,May,2024,Mexico_-_Brand_May_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Jun,2024,Mexico_-_Brand_Jun_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Jul,2024,Mexico_-_Brand_Jul_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Aug,2024,Mexico_-_Brand_Aug_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Sep,2024,Mexico_-_Brand_Sep_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Oct,2024,Mexico_-_Brand_Oct_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Nov,2024,Mexico_-_Brand_Nov_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Brand,Dec,2024,Mexico_-_Brand_Dec_2024,cost,0.05,0.01,0.1,additive,na,additive,na,na,na,na,na,na,na,na,na,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Jan,2024,Mexico_-_Non_Brand_Jan_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Feb,2024,Mexico_-_Non_Brand_Feb_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Mar,2024,Mexico_-_Non_Brand_Mar_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Apr,2024,Mexico_-_Non_Brand_Apr_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,May,2024,Mexico_-_Non_Brand_May_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Jun,2024,Mexico_-_Non_Brand_Jun_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Jul,2024,Mexico_-_Non_Brand_Jul_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Aug,2024,Mexico_-_Non_Brand_Aug_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Sep,2024,Mexico_-_Non_Brand_Sep_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Oct,2024,Mexico_-_Non_Brand_Oct_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Nov,2024,Mexico_-_Non_Brand_Nov_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
Mexico,-,Non_Brand,Dec,2024,Mexico_-_Non_Brand_Dec_2024,cost,0.5,1.0,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,366.0,183,2024-01-01,0.8,1.2
