,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
875,2020-01-02,LATAM,Mexico,-,Brand,L,277.23,50.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,94.18536453201972
876,2020-01-03,LATAM,Mexico,-,Brand,L,253.15,70.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,86.00449096880133
877,2020-01-04,LATAM,Mexico,-,Brand,L,5.859999999999999,3.0,0.0,0.0,2.0,2.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.9908604269293924
878,2020-01-05,LATAM,Mexico,-,Brand,L,1.92,0.0,0.0,0.0,1.0,1.0,0.0,0.0,January,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.6522955665024631
879,2020-01-06,LATAM,Mexico,-,Brand,L,270.21,90.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,91.80040886699508
880,2020-01-07,LATAM,Mexico,-,Brand,L,235.46,94.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,79.99453858784894
881,2020-01-08,LATAM,Mexico,-,Brand,L,241.89999999999998,103.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,82.18244663382595
882,2020-01-09,LATAM,Mexico,-,Brand,L,205.37,94.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,69.77184400656814
883,2020-01-10,LATAM,Mexico,-,Brand,L,129.14999999999998,74.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,43.87706896551723
884,2020-01-11,LATAM,Mexico,-,Brand,L,4.84,3.0,0.0,0.0,2.0,2.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.644328407224959
