,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,linear,9.05,7.199999999999999
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,linear,9.05,7.199999999999999
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,linear,9.05,7.199999999999999
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,logistic,35.68,28.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,logistic,35.68,28.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,linear,9.01,7.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,logistic,35.68,28.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,linear,9.01,7.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,linear,9.01,7.12
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,logistic,35.6,28.26
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,linear,9.03,7.04
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,logistic,35.6,28.26
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,logistic,35.6,28.26
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,linear,9.03,7.04
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,linear,9.03,7.04
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,logistic,35.57,27.779999999999998
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,logistic,35.57,27.779999999999998
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,10.22,6.13
0,Mexico,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,logistic,35.57,27.779999999999998
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,linear,10.22,6.13
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,linear,10.22,6.13
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,29.09,2.64
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,linear,10.18,5.91
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,logistic,29.09,2.64
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,logistic,29.09,2.64
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,linear,10.18,5.91
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,logistic,27.96,1.72
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,customized,na,na,na,na,na,na,na,linear,10.18,5.91
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,10.15,5.63
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,logistic,27.96,1.72
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,multiplicative,default,na,na,na,na,na,na,na,linear,10.15,5.63
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,additive,customized,na,na,na,na,na,na,na,logistic,27.96,1.72
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,logistic,28.95,1.9900000000000002
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,multiplicative,customized,na,na,na,na,na,na,na,linear,10.15,5.63
0,Mexico,-,Brand,183,0.05,10.0,0.01,multiplicative,na,multiplicative,default,na,na,na,na,na,na,na,logistic,28.95,1.9900000000000002
0,Mexico,-,Brand,183,0.05,10.0,0.1,additive,na,na,na,na,na,na,na,na,na,na,linear,9.05,7.199999999999999
0,Mexico,-,Brand,183,0.05,10.0,0.1,additive,na,na,default,na,na,na,na,na,na,na,linear,9.05,7.199999999999999
