,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Generic,183,0.1,1.0,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,7.79,5.5
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Generic,183,0.1,1.0,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,7.79,5.5
0,US,Google AdWords,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,False,na,na,na,na,na,na,linear,7.81,1.8800000000000001
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Generic,183,0.1,1.0,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,7.79,5.5
0,US,Google AdWords,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,False,na,na,na,na,na,na,linear,7.81,1.8800000000000001
0,US,Bing Ads,Competitor,183,0.001,0.01,10.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,9.17,6.41
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Generic,183,0.1,1.0,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,7.79,5.5
0,US,Google AdWords,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,False,na,na,na,na,na,na,linear,7.81,1.8800000000000001
0,US,Bing Ads,Competitor,183,0.001,0.01,10.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,9.17,6.41
0,US,Bing Ads,Generic,183,0.05,1.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,44.31,60.660000000000004
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,False,na,na,na,na,na,na,linear,21.75,13.98
0,US,Google AdWords,Generic,183,0.1,1.0,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,7.79,5.5
0,US,Google AdWords,Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,False,na,na,na,na,na,na,linear,7.81,1.8800000000000001
0,US,Bing Ads,Competitor,183,0.001,0.01,10.0,multiplicative,multiplicative,multiplicative,default,False,na,na,na,na,na,na,linear,9.17,6.41
0,US,Bing Ads,Generic,183,0.05,1.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,44.31,60.660000000000004
0,US,Bing Ads,Brand,183,0.05,0.01,0.01,additive,multiplicative,multiplicative,customized,False,na,na,na,na,na,na,logistic,13.42,5.27
