market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,periods,cutoff_month,MinWeight,MaxWeight
US,Bing Ads,Brand,Apr,2024,US_Bing_Ads_Brand_Apr_2024,cost,67,0.05,0.01,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Brand,May,2024,US_Bing_Ads_Brand_May_2024,cost,67,0.05,0.01,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Brand,Jun,2024,US_Bing_Ads_Brand_Jun_2024,cost,67,0.05,0.01,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Competitor,Apr,2024,US_Bing_Ads_Competitor_Apr_2024,cost,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Competitor,May,2024,US_Bing_Ads_Competitor_May_2024,cost,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Competitor,Jun,2024,US_Bing_Ads_Competitor_Jun_2024,cost,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Generic,Apr,2024,US_Bing_Ads_Generic_Apr_2024,cost,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Generic,May,2024,US_Bing_Ads_Generic_May_2024,cost,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Bing Ads,Generic,Jun,2024,US_Bing_Ads_Generic_Jun_2024,cost,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Brand,Apr,2024,US_Google_AdWords_Brand_Apr_2024,cost,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Brand,May,2024,US_Google_AdWords_Brand_May_2024,cost,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Brand,Jun,2024,US_Google_AdWords_Brand_Jun_2024,cost,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Competitor,Apr,2024,US_Google_AdWords_Competitor_Apr_2024,cost,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Competitor,May,2024,US_Google_AdWords_Competitor_May_2024,cost,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Competitor,Jun,2024,US_Google_AdWords_Competitor_Jun_2024,cost,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Generic,Apr,2024,US_Google_AdWords_Generic_Apr_2024,cost,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Generic,May,2024,US_Google_AdWords_Generic_May_2024,cost,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
US,Google AdWords,Generic,Jun,2024,US_Google_AdWords_Generic_Jun_2024,cost,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25,0.8,1.2
