,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,US_Bing_Ads_Brand_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
1,US_Bing_Ads_Brand_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
2,US_Bing_Ads_Brand_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
3,US_Bing_Ads_Competitor_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
4,US_Bing_Ads_Competitor_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
5,US_Bing_Ads_Competitor_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
6,US_Bing_Ads_Generic_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
7,US_Bing_Ads_Generic_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
8,US_Bing_Ads_Generic_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
9,US_Google_AdWords_Brand_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
10,US_Google_AdWords_Brand_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
11,US_Google_AdWords_Brand_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
12,US_Google_AdWords_Competitor_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
13,US_Google_AdWords_Competitor_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
14,US_Google_AdWords_Competitor_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
15,US_Google_AdWords_Generic_Apr_2024,1.0730911139599248,-1000652.0,1,05.10.2024 19:47:27
16,US_Google_AdWords_Generic_May_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
17,US_Google_AdWords_Generic_Jun_2024,1.0329601907484771,-1000652.0,1,05.10.2024 19:47:27
0,US_Bing_Ads_Brand_Apr_2024,1.0730911139599248,-1000652.0,2,05.10.2024 19:47:37
1,US_Bing_Ads_Brand_May_2024,1.0329601907484771,-1000652.0,2,05.10.2024 19:47:37
2,US_Bing_Ads_Brand_Jun_2024,1.0329601907484771,-1000652.0,2,05.10.2024 19:47:37
3,US_Bing_Ads_Competitor_Apr_2024,1.0730911139599248,-1000652.0,2,05.10.2024 19:47:37
4,US_Bing_Ads_Competitor_May_2024,1.0329601907484771,-1000652.0,2,05.10.2024 19:47:37
5,US_Bing_Ads_Competitor_Jun_2024,1.0329601907484771,-1000652.0,2,05.10.2024 19:47:37
6,US_Bing_Ads_Generic_Apr_2024,1.0730911139599248,-1000652.0,2,05.10.2024 19:47:37
7,US_Bing_Ads_Generic_May_2024,1.0329601907484771,-1000652.0,2,05.10.2024 19:47:37
