,iteration,Conversion Quantity
0,1,3169787.0
1,2,3183678.0
2,3,3183678.0
3,4,3183678.0
4,5,3183678.0
5,6,3183678.0
6,7,3186634.0
7,8,3186634.0
8,9,3186634.0
9,10,3186634.0
10,11,3186634.0
11,12,3186634.0
12,13,3186634.0
13,14,3186634.0
14,15,3186634.0
15,16,3186634.0
16,17,3186634.0
17,18,3186634.0
18,19,3186634.0
19,20,3186634.0
20,21,3186634.0
21,22,3186634.0
22,23,3186634.0
23,24,3186634.0
24,25,3186634.0
25,26,3186634.0
26,27,3186634.0
27,28,3186634.0
28,29,3187364.0
29,30,3187364.0
30,31,3187364.0
31,32,3187603.0
32,33,3187603.0
33,34,3187603.0
34,35,3187603.0
35,36,3187603.0
36,37,3187603.0
37,38,3187603.0
38,39,3187603.0
39,40,3187603.0
40,41,3187603.0
41,42,3187603.0
42,43,3187603.0
43,44,3187603.0
44,45,3187603.0
45,46,3187603.0
46,47,3187603.0
47,48,3187603.0
48,49,3187603.0
49,50,3187603.0
50,51,3187603.0
51,52,3187603.0
52,53,3187603.0
53,54,3187603.0
54,55,3187603.0
55,56,3187603.0
56,57,3187603.0
57,58,3187603.0
58,59,3187603.0
59,60,3187603.0
60,61,3187603.0
61,62,3187603.0
62,63,3187603.0
63,64,3188945.0
64,65,3188945.0
65,66,3188945.0
66,67,3188945.0
67,68,3188945.0
68,69,3188945.0
69,70,3188945.0
70,71,3188945.0
71,72,3188945.0
72,73,3188945.0
73,74,3188945.0
74,75,3188945.0
75,76,3188945.0
76,77,3188945.0
77,78,3188945.0
78,79,3188945.0
79,80,3188945.0
80,81,3188945.0
81,82,3188945.0
82,83,3188945.0
83,84,3188945.0
84,85,3188945.0
85,86,3188945.0
86,87,3188945.0
87,88,3188945.0
88,89,3188945.0
89,90,3188945.0
90,91,3188945.0
91,92,3188945.0
92,93,3188945.0
93,94,3188945.0
94,95,3188945.0
95,96,3188945.0
96,97,3188945.0
97,98,3188945.0
98,99,3188945.0
99,100,3188945.0
