,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,41.2,38.879999999999995
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,linear,41.2,38.879999999999995
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,linear,41.2,38.879999999999995
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,logistic,69.4,69.86
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,69.4,69.86
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,39.53,37.22
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,logistic,69.4,69.86
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,linear,39.53,37.22
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,125.01,122.93
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,linear,39.53,37.22
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,32.99,3.8699999999999997
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,125.01,122.93
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,125.01,122.93
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,linear,32.99,3.8699999999999997
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,linear,32.99,3.8699999999999997
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.73,68.17
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,44.65,42.18
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,67.73,68.17
