,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,4.93,2.59
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,4.88,3.71
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,7.74,6.5
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,3.66,0.7000000000000001
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,logistic,42.2,56.8
0,US,Bing Ads,Brand,67,0.05,0.01,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,12.25,0.4
0,US,Bing Ads,Brand,67,0.05,0.01,0.01,additive,multiplicative,additive,default,na,na,na,na,na,na,na,logistic,12.25,0.4
0,US,Bing Ads,Brand,67,0.05,0.01,0.01,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,logistic,12.25,0.4
