,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,34.03,32.9
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,linear,34.03,32.9
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,linear,34.03,32.9
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,logistic,61.54,61.970000000000006
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,61.54,61.970000000000006
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,33.59,32.49
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,logistic,61.54,61.970000000000006
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,linear,33.59,32.49
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,linear,33.59,32.49
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,138.21,136.7
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,138.21,136.7
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,37.73,36.58
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,138.21,136.7
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,linear,37.73,36.58
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,69.16,69.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,linear,37.73,36.58
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,69.16,69.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,38.42,37.54
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,logistic,69.16,69.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,linear,38.42,37.54
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,47.9,48.29
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,linear,38.42,37.54
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,logistic,47.9,48.29
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,28.43,27.32
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,logistic,47.9,48.29
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,linear,28.43,27.32
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,150.53,148.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,linear,28.43,27.32
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,logistic,150.53,148.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,43.55,42.64
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,logistic,150.53,148.44
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,43.55,42.64
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,46.35,46.78
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,43.55,42.64
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,92.8,92.21000000000001
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,logistic,46.35,46.78
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,linear,92.8,92.21000000000001
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,logistic,46.35,46.78
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,99.45,99.42
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,linear,92.8,92.21000000000001
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,logistic,99.45,99.42
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,73.05,71.47
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,logistic,99.45,99.42
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,linear,73.05,71.47
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,83.14,83.05
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,linear,73.05,71.47
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,logistic,83.14,83.05
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,logistic,83.14,83.05
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,95.89,95.84
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,99.54,99.51
0,US,Google AdWords,Competitor,67,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,95.89,95.84
